,Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Length,Budget,Original Language,Videos,Backdrops,Posters
19,Uprising,2024,73,"In the Joseon Dynasty, two friends who grew up together — one the master and one the servant — reunite post-war as enemies on opposing sides.",Kim Sang-man,N/A,"Action, Drama, History",-,2h 6m,-,Korean,4,51,46
20,Corpse Bride,2005,76,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",Tim Burton,Pamela Pettler,"Romance, Fantasy, Animation","$118,133,252.00",1h 17m,"$40,000,000.00",English,7,25,64
21,The Killer's Game,2024,63,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",J.J. Perry,James Coyne,"Action, Comedy, Crime","$5,090,881.00",1h 44m,"$30,000,000.00",English,3,20,32
22,Bad Boys: Ride or Die,2024,75,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",Adil El Arbi,N/A,"Action, Comedy","$402,529,640.00",1h 55m,"$100,000,000.00",English,21,57,139
23,Terrifier,2018,64,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,Damien Leone,N/A,"Horror, Thriller","$416,322.00",1h 25m,"$35,000.00",English,3,15,42
24,Terrifier 2,2022,68,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Damien Leone,N/A,"Horror, Thriller","$15,740,003.00",2h 18m,"$250,000.00",English,6,23,65
25,The Bad Guys: Haunted Heist,2024,75,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,Kevin Peaty,N/A,"Animation, Comedy",-,25m,-,English,2,9,26
26,Flow,2024,89,"The world seems to be coming to an end, teeming with the vestiges of a human presence. Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences. In the lonesome boat sailing through mystical overflowed landscapes, they navigate the challenges and dangers of adapting to this new world.",Gints Zilbalodis,N/A,"Animation, Fantasy, Adventure",-,1h 24m,-,No Language,3,26,14
27,Speak No Evil,2024,74,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",James Watkins,N/A,"Horror, Thriller","$73,094,555.00",1h 50m,"$15,000,000.00",English,11,29,91
28,The Silent Hour,2024,68,"While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.",Brad Anderson,N/A,"Crime, Thriller, Action",-,1h 35m,-,English,1,18,18
29,The Inseparables,2023,66,"The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York.",Jérémie Degruson,Jérémie Degruson,"Animation, Adventure, Comedy, Family","$311,198.00",1h 30m,-,English,5,15,53
30,Trouble,2024,69,"Wrongfully convicted of murder, a clumsy electronics salesman faces police corruption and criminal conspiracies in an attempt to prove his innocence.",Jon Holmberg,N/A,"Action, Comedy, Crime",-,1h 38m,-,Swedish,1,8,21
31,It Ends with Us,2024,72,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",Justin Baldoni,Christy Hall,"Romance, Drama","$334,836,337.00",2h 11m,"$25,000,000.00",English,35,28,83
32,The Most Wonderful Time of the Year,2024,54,"Sideshow Bob teams up with the most infamous villains of Disney+ to share the true meaning of the Halloween season. Filled with music, mayhem, and madness, this short from ""The Simpsons"" is simply to die for.",David Silverman,N/A,"Animation, Comedy",-,3m,-,English,0,8,7
33,Winnie-the-Pooh: Blood and Honey 2,2024,62,"Five months following the murders, Christopher Robin tries returning to his regular life while dealing with his PTSD. Deep within the 100-Acre-Wood, a destructive rage grows as Winnie-the-Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.",Rhys Frake-Waterfield,Matt Leslie,"Horror, Thriller","$7,582,541.00",1h 33m,"$415,000.00",English,5,25,68
34,Wolfs,2024,66,"Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.",Jon Watts,N/A,"Comedy, Thriller, Action",-,1h 48m,"$80,000,000.00",English,16,43,80
35,Blood for Dust,2024,56,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",Rod Blackhurst,N/A,"Action, Crime, Thriller",-,1h 38m,-,English,11,20,28
36,Bangkok Breaking: Heaven and Hell,2024,65,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner.",Kongkiat Khomsiri,Kongkiat Khomsiri,"Action, Crime, Drama, Thriller",-,2h 27m,-,Thai,1,7,21
37,Daddy's Head,2024,57,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.,Benjamin Barfoot,N/A,Horror,-,1h 32m,-,English,1,12,8
38,Transformers One,2024,75,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Josh Cooley,Andrew Barrer,"Animation, Science Fiction, Adventure, Family, Action","$118,464,909.00",1h 44m,"$75,000,000.00",English,33,66,190
39,IF,2024,73,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,John Krasinski,N/A,"Comedy, Fantasy, Family","$186,240,904.00",1h 44m,"$110,000,000.00",English,33,56,220
40,Borderlands,2024,58,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",Eli Roth,Eli Roth,"Action, Science Fiction, Comedy","$30,863,794.00",1h 41m,"$115,000,000.00",English,9,37,177
41,Kill 'em All 2,2024,70,"Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabouts are discovered by Vlad, the vengeful brother of their target from the first film.",Valeri Milev,N/A,"Action, Crime, Thriller",-,1h 25m,-,English,2,18,26
42,Venom,2018,68,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",Ruben Fleischer,Jeff Pinkner,"Science Fiction, Action","$856,085,151.00",1h 52m,"$116,000,000.00",English,11,45,185
43,SpongeBob Squarepants: Kreepaway Kamp,2024,75,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",Fred Osmond,N/A,"TV Movie, Family, Comedy, Horror, Animation",-,45m,-,English,1,2,7
44,The Demon Disorder,2024,56,"The pasts of three brothers and their deceased father collide when a deep, dark family secret is unearthed, leading to a case of revenge from beyond the grave.",Steven Boyle,N/A,Horror,-,1h 26m,-,English,1,7,12
45,Twisters,2024,70,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Lee Isaac Chung,Mark L. Smith,"Action, Adventure, Thriller","$369,590,675.00",2h 3m,"$155,000,000.00",English,30,54,189
46,Hijack 1971,2024,59,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",Kim Sung-han,N/A,"Crime, Action, Thriller",$14.00,1h 40m,-,Korean,2,22,60
47,Pleasure,2021,62,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",Ninja Thyberg,Ninja Thyberg,Drama,"$393,824.00",1h 48m,"$1,800,000.00",Swedish,9,11,39
48,The Clean Up Crew,2024,51,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.",Jon Keeyes,N/A,"Action, Crime, Thriller",-,1h 35m,-,English,4,8,20
49,A Quiet Place: Day One,2024,68,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Michael Sarnoski,Michael Sarnoski,"Horror, Science Fiction, Thriller","$260,894,737.00",1h 39m,"$67,000,000.00",English,29,75,178
