,Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Length,Budget,Original Language,Videos,Backdrops,Posters
86,The Forge,2024,81,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",Alex Kendrick,N/A,"Drama, Family","$30,631,674.00",2h 3m,"$5,000,000.00",English,3,7,18
87,Migration,2023,74,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Benjamin Renner,Mike White,"Animation, Action, Adventure, Comedy, Family","$298,776,052.00",1h 23m,"$72,000,000.00",English,31,52,140
88,Gracie & Pedro: Pets to the Rescue,2024,70,"Family frenemies, Gracie and Pedro, must put their differences aside, embarking on a thrilling quest packed with perilous escapades in order to reunite with their owners.",Kevin Donovan,Bruce A. Taylor,"Animation, Adventure, Comedy, Family","$664,443.00",1h 29m,-,English,2,6,32
89,Twilight of the Warriors: Walled In,2024,65,"In 1980s Hong Kong, troubled youth Chan Lok-kwun, a mainland refugee, struggles to survive in the Kowloon Walled City by joining underground fights. Betrayed by crime boss Mr. Big while trying to buy a fake ID, he steals drugs from him and seeks refuge in the Walled City, where he encounters Cyclone, a compassionate yet authoritative crime lord.",Soi Cheang,Lai Chun,"Action, Adventure, Crime, Thriller","$95,335,412.00",2h 5m,"$38,400,000.00",Cantonese,9,35,77
90,Coraline,2009,79,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,Henry Selick,"Animation, Family, Fantasy","$172,750,668.00",1h 40m,"$60,000,000.00",English,8,78,97
91,Little Bites,2024,63,"Mindy, a young widow and mother who tries to protect her daughter Alice from a flesh eating monster named Agyar. Mindy has been secretly sacrificing her own life by allowing the creature to feast on her body as she keeps Alice hidden away at her grandmother’s house.",Spider One,N/A,Horror,-,1h 46m,-,English,1,4,8
92,Padre no hay más que uno 4: Campanas de boda,2024,68,"The eldest of the family, Sara, comes of age and brings chaos to the family by announcing her intention to marry Ocho. Javier and Marisa try to avoid it at all costs. At the same time Dani has an existential crisis, Paulita feels jealous of Cris, Carlota announces that she has found a boyfriend from a high society family and Rocio has finally managed to be cast in her first film.",Santiago Segura,Santiago Segura,"Family, Comedy","$20,271.00",1h 39m,-,Spanish; Castilian,0,5,3
93,Fast X,2023,71,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",Louis Leterrier,Dan Mazeau,"Action, Crime, Thriller","$704,709,660.00",2h 22m,"$340,000,000.00",English,58,55,290
94,House of Spoils,2024,57,"An ambitious chef opens a restaurant on a remote estate where she battles kitchen chaos, crushing self doubts… and a haunting presence who threatens to sabotage her at every turn.",Bridget Savage Cole,Bridget Savage Cole,"Horror, Thriller",-,1h 41m,-,English,4,15,25
95,Transformers: Rise of the Beasts,2023,73,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",Steven Caple Jr.,Joby Harold,"Science Fiction, Adventure, Action","$439,000,000.00",2h 7m,"$195,000,000.00",English,50,38,283
96,Outlaw,2024,60,"At the age of nine, Rebeca is sold by her grandmother to the bookseller who ran Rocinha. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer and, with the death of her partner, his successor. The electrifying trajectory of crime, violence, drugs and love of a female drug kingpin in Rocinha, Rio de Janeiro in the 1980s.",João Wainer,N/A,"Action, Crime, Drama",-,1h 20m,-,Portuguese,1,8,15
97,The Maze Runner,2014,72,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",Wes Ball,T.S. Nowlin,"Action, Mystery, Science Fiction, Thriller","$348,319,861.00",1h 53m,"$34,000,000.00",English,2,44,126
98,Kelas Bintang - Hot Moms,2023,100,We don't have an overview translated in English. Help us expand our database by adding one.,N/A,N/A,"Drama, Romance",-,N/A,-,Indonesian,N/A,N/A,N/A
99,Apartment 7A,2024,61,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",Natalie Erika James,Natalie Erika James,"Horror, Thriller",-,1h 46m,-,English,1,42,39
100,Mantra Warrior: The Legend of The Eight Moons,2023,64,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.",Jinanavin Veerapatra,Sornperes Subsermsri,"Animation, Action, Adventure, Fantasy, Science Fiction",-,1h 30m,-,Thai,3,2,13
101,God of Pain,2024,72,A man wakes up in the middle of the street with no idea where he is or how he ended up there. Soon he is forced to confront the demons he is battling within before a gateway to the underworld unlocks the secret of Algea the God of Pain.,JD Allen,N/A,"Horror, Science Fiction, Thriller",-,1h 40m,-,English,1,3,5
102,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023,72,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",Thomas Astruc,N/A,"Animation, Adventure, Action, Fantasy, Family",-,48m,-,French,3,12,20
103,An Ideal Father,2024,64,"Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",Hélène Fillières,Hélène Fillières,"Drama, TV Movie",-,1h 30m,-,French,0,4,2
104,Trap,2024,65,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",M. Night Shyamalan,N/A,"Thriller, Crime, Horror","$82,406,909.00",1h 45m,"$30,000,000.00",English,24,49,157
105,Harry Potter and the Philosopher's Stone,2001,79,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Chris Columbus,Steve Kloves,"Adventure, Fantasy","$976,475,550.00",2h 32m,"$125,000,000.00",English,28,68,242
106,Afraid,2024,63,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,Chris Weitz,N/A,"Horror, Science Fiction, Thriller","$12,567,788.00",1h 24m,"$12,000,000.00",English,15,12,56
107,The Jack in the Box: Rises,2024,69,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",Lawrence Fowler,N/A,Horror,"$771,460.00",1h 32m,-,English,1,16,14
108,BLUE LOCK THE MOVIE -EPISODE NAGI-,2024,70,"""That's a hassle."" That was second-year high schooler Nagi Seishirou's favorite phrase as he lived his dull life. Until Mikage Reo, a classmate who dreamed of winning the World Cup, discovered Nagi's hidden skill, inspiring him to play soccer and share his outstanding talent. One day, Nagi Seishiro receives an invitation to the mysterious Blue Lock Project. What awaits him there is an encounter with the finest strikers assembled from across the country. Nagi's dream of becoming the best, alongside Mikage Reo, will take this prodigy to a world he's never known.",Shunsuke Ishikawa,Taku Kishimoto,"Animation, Action, Drama","$11,201,738.00",1h 31m,-,Japanese,2,4,36
109,All Hallows' Eve,2013,57,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",Damien Leone,N/A,Horror,-,1h 22m,-,English,1,11,15
110,Moana 2,2024,0,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",Dana Ledoux Miller,N/A,"Animation, Adventure, Family, Comedy",-,1h 40m,-,English,6,44,114
111,The Shawshank Redemption,1994,87,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Frank Darabont,Frank Darabont,"Drama, Crime","$28,341,469.00",2h 22m,"$25,000,000.00",English,18,52,160
112,Officer Black Belt,2024,78,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.,Jason Kim,N/A,"Action, Comedy, Crime",-,1h 48m,-,Korean,7,8,29
113,Harold and the Purple Crayon,2024,71,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",Carlos Saldanha,David Guion,"Adventure, Family, Fantasy, Comedy","$24,982,787.00",1h 30m,"$40,000,000.00",English,10,28,73
114,The Flesh,1991,54,"A beautiful film which is basically about a man, a piano player, who meets and falls in love with a beautiful and voluptuous woman, who, by some strange procedure, leaves the man unable to move but with a permanent priapism! After some time he becomes sick of it and she relieves his paralysis. Eventually she gets bored and decides to leave, but he can't take it because he loves her…",Marco Ferreri,N/A,"Drama, Romance",-,1h 30m,-,Italian,0,5,8
115,The Radleys,2024,54,"A seemingly ordinary family harbors a dark secret: they are vampires. They choose not to drink blood despite their natural cravings, but one day, their truth comes to light.",Euros Lyn,N/A,"Comedy, Horror, Thriller",-,1h 55m,-,English,2,10,15
116,Temurun,2024,61,"After their mother dies during a violent break-in, two siblings move in with their estranged father discover their family's sinister heritage.",Inarah Syarafina,N/A,"Horror, Thriller",-,1h 26m,-,Indonesian,3,11,8
117,Hold Your Breath,2024,61,"In 1930s Oklahoma amid the region's horrific dust storms, a woman is convinced that a sinister presence is threatening her family.",Karrie Crouse,Karrie Crouse,"Horror, Thriller, Drama",-,1h 34m,-,English,26,44,48
118,Lonely Planet,2024,59,"At an idyllic writers retreat in Morocco, a newly single novelist finds an unexpected connection with a younger man who's reevaluating his life choices.",Susannah Grant,N/A,"Romance, Drama",-,1h 36m,-,English,4,5,15
119,Dune: Part Two,2024,82,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Denis Villeneuve,Denis Villeneuve,"Science Fiction, Adventure","$711,844,359.00",2h 47m,"$190,000,000.00",English,37,184,427
120,The Godfather,1972,87,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",Francis Ford Coppola,Francis Ford Coppola,"Drama, Crime","$245,066,411.00",2h 55m,"$6,000,000.00",English,21,64,192
121,I Don't Like Younger Men 5,2020,71,"Ha-neul haven't seen her friend, Ye-sol for a long time, and so they spent a good time together. That time, Ye-sol's father, Min-soo enters the house.  Ha-neul sees the young-looking Min-soo and makes a fuss. Ye-sol who is a little bit tipsy tells Ha-neul that he is her stepfather.  That night, Ha-neul secretly entered sexy Min-soo's room...",Kye Jang-hyuk,N/A,Romance,-,1h 21m,-,Korean,0,1,1
122,Gunner,2024,53,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",Dimitri Logothetis,N/A,"Action, Thriller, Crime",-,1h 30m,"$20,000,000.00",English,2,10,20
123,My Hero Academia: You're Next,2024,71,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",Tensai Okamura,Yosuke Kuroda,"Animation, Action, Adventure, Science Fiction","$26,622,396.00",1h 50m,-,Japanese,4,25,44
124,Rebel Ridge,2024,70,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,Jeremy Saulnier,N/A,"Crime, Action, Thriller, Drama",-,2h 12m,-,English,5,38,41
125,Mr. Crocket,2024,47,"A single mother thinks she's found the key to calming her child down – a VHS copy of a strange children's program named Mr. Crocket's World. However, a darker, bloodier secret waits to invade their home from inside the tape.",Brandon Espy,N/A,Horror,-,1h 28m,-,English,5,8,9
126,The Mouse Trap,2024,46,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.",Jamie Bailey,N/A,"Horror, Thriller, Comedy","$5,737.00",1h 20m,"$800,000.00",English,3,14,17
127,Lassie: A New Adventure,2023,63,"Flo and his trusted Collie pal Lassie spend the summer at Aunt Cosma's, alongside her foster children Kleo and Henry, and her dog Pippa. When local canines start disappearing, including Pippa, Lassie rallies the kids to solve the mystery.",Hanno Olderdissen,N/A,"Adventure, Family","$4,918,295.00",1h 28m,-,German,1,12,28
128,Strange Darling,2024,69,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,JT Mollner,N/A,"Crime, Horror, Thriller","$3,504,687.00",1h 37m,"$4,000,000.00",English,17,25,90
129,It's What's Inside,2024,64,A pre-wedding reunion descends into a psychological nightmare for a group of college friends when a surprise guest arrives with a mysterious suitcase.,Greg Jardin,N/A,"Comedy, Mystery, Science Fiction",-,1h 43m,-,English,9,31,37
130,The Platform,2019,70,"A slab of food descends down a vertical facility. The residents above eat heartily, leaving those below starving and desperate. A rebellion is imminent.",Galder Gaztelu-Urrutia,David Desola,"Drama, Science Fiction, Thriller","$1,090,116.00",1h 35m,"$1,203,235.00",Spanish; Castilian,3,17,62
131,The Union,2024,63,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,Julian Farino,N/A,"Action, Comedy",-,1h 49m,-,English,6,21,43
132,John Wick: Chapter 4,2023,77,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,N/A,"Action, Thriller, Crime","$440,157,245.00",2h 50m,"$90,000,000.00",English,25,61,261
133,365 Days: This Day,2022,59,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",Tomasz Mandes,N/A,"Romance, Drama",-,1h 51m,-,Polish,1,14,25
134,Avengers: Infinity War,2018,82,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Joe Russo,Stephen McFeely,"Adventure, Action, Science Fiction","$2,052,415,039.00",2h 29m,"$300,000,000.00",English,12,135,378
135,Highlander: The Search for Vengeance,2007,72,"Colin MacLeod hunts for the man responsible for the death of his love. He chases the immortal Marcus Octavius across centuries as his quest threatens to take over his life and heart. In his quest, he meets a woman who reminds him of his slain beauty. But it's his final battle with Marcus that will decide not only his fate, but also the fate of everyone in the world.",Yoshiaki Kawajiri,N/A,"Action, Animation, Fantasy, Science Fiction",-,1h 26m,-,English,1,5,10
136,Amber Alert,2024,66,"An ordinary rideshare becomes a high-stakes game of cat and mouse when Jaq and Shane receive an alert of a child abduction on their phones. Quickly realizing they are behind a car that matches the description of the kidnapper’s, Jaq and Shane desperately race against time to save the child’s life.",Kerry Bellessa,N/A,"Thriller, Drama",-,1h 31m,-,English,1,7,15
137,Spider-Man: No Way Home,2021,80,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",Jon Watts,N/A,"Action, Adventure, Science Fiction","$1,921,847,111.00",2h 28m,"$200,000,000.00",English,69,109,423
138,Justice League: Crisis on Infinite Earths Part Three,2024,75,"Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",Jeff Wamester,N/A,"Animation, Science Fiction, Action",-,1h 39m,-,English,2,6,19
139,To Be Twenty,1978,59,"Lia and Tina are two beautiful girls who meet and realize that they have a lot in common. They are both young, beautiful and pissed off, so they decide to hitchhike their way to Rome to find Nazariota's commune, a place to stay for free and have all the sex they want... or so they think. Things don't go as they have planned though, and soon they become involved in prostitution, the police and an aggressive gang.",Fernando Di Leo,Fernando Di Leo,Comedy,-,1h 34m,-,Italian,8,9,12
140,Spider-Man: Across the Spider-Verse,2023,84,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",Kemp Powers,N/A,"Animation, Action, Adventure, Science Fiction","$690,897,910.00",2h 20m,"$100,000,000.00",English,83,261,433
141,The Ministry of Ungentlemanly Warfare,2024,71,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",Guy Ritchie,Guy Ritchie,"Action, Comedy, War","$27,450,915.00",2h,"$60,000,000.00",English,7,45,104
142,Chapel,2024,59,A man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is.,Courtney Paige,N/A,"Mystery, Thriller",-,1h 32m,-,English,1,5,6
143,The Super Mario Bros. Movie,2023,77,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",Michael Jelenic,N/A,"Animation, Family, Adventure, Fantasy, Comedy","$1,362,000,000.00",1h 33m,"$100,000,000.00",English,61,116,323
144,House of Ga'a,2024,58,"At the height of the Oyo Empire, the ferocious Bashorun Ga'a became more powerful than the kings he enthroned, only to be undone by his own blood.",Bolanle Austen-Peters,N/A,"Action, History",-,2h,-,English,1,2,15
145,Kung Fu Games,2024,61,"Notorious fighters are trapped in lethal martial arts games by a sadistic magnate. Armed only with their combat skills, they face brutal battles for survival in a deadly kill-or-be-killed showdown.",Ryan C. Jaeger,Ryan C. Jaeger,Action,-,1h 34m,-,English,1,6,6
146,In Your Dreams,2023,73,"You know the feeling. It feels like time slows down as your eyes meet a stranger’s. Then you walk pass each other, neither of you looking back. That’s what happened with Pelin and Engin. Lo and behold, they open their eyes in the same bed. And you may want to brace yourself for this one, as a two-year married couple! It must be a dream. No, a nightmare. But now, to wake up they must fall in love.",Cemal Alpan,N/A,"Romance, Comedy, Drama",-,N/A,-,Turkish,1,3,7
147,Female Teacher: In Front of the Students,1982,68,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.",Yasuaki Uegaki,Masayasu Ōebara,"Drama, Mystery, Horror",-,1h 9m,-,Japanese,0,2,2
148,Under Paris,2024,60,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",Xavier Gens,Xavier Gens,"Action, Drama, Horror, Thriller",-,1h 44m,-,French,1,15,59
149,The Marvels,2023,61,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",Nia DaCosta,N/A,"Science Fiction, Adventure, Action","$207,089,999.00",1h 45m,"$274,800,000.00",English,29,112,350
150,Late Night with the Devil,2024,73,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",Cameron Cairnes,N/A,Horror,"$11,902,746.00",1h 33m,"$2,000,000.00",English,5,17,100
151,Jackpot!,2024,64,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",Paul Feig,N/A,"Comedy, Science Fiction, Action",-,1h 47m,-,English,14,54,69
152,Purpose of Tutoring,2023,55,"Yeong-tak and Ha-na are stepsiblings who live with the support of their divorced adoptive parents. The two begin taking individual private lessons for their respective careers. Yeong-tak secretly gives his acting teacher Na-ri sleeping pills to covet her body, while Ha-na is busy seducing her physical education teacher Han-cheol. Meanwhile, Na-ri and Han-cheol run into each other at the stepsiblings' house, fall in love at first sight, and seek revenge on the two who offended them.",Han Dong-yeon,N/A,"Romance, Drama",-,1h 11m,-,Korean,1,1,1
153,Harry Potter and the Prisoner of Azkaban,2004,80,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",Alfonso Cuarón,Steve Kloves,"Adventure, Fantasy","$789,804,554.00",2h 21m,"$130,000,000.00",English,8,85,198
154,Fifty Shades of Grey,2015,59,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",Sam Taylor-Johnson,Kelly Marcel,"Drama, Romance, Thriller","$571,000,000.00",2h 5m,"$40,000,000.00",English,11,18,58
155,Inside Out,2015,79,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Pete Docter,Pete Docter,"Animation, Family, Adventure, Drama, Comedy","$857,611,174.00",1h 35m,"$175,000,000.00",English,6,65,208
156,Sonic the Hedgehog 3,2024,0,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",Jeff Fowler,Pat Casey,"Science Fiction, Family, Comedy, Action, Adventure",-,N/A,"$225,000,000.00",English,3,42,40
157,The Dark Knight,2008,85,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Christopher Nolan,Christopher Nolan,"Drama, Action, Crime, Thriller","$1,004,558,444.00",2h 32m,"$185,000,000.00",English,8,97,203
158,The Lord of the Rings: The Return of the King,2003,85,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",Peter Jackson,Peter Jackson,"Adventure, Fantasy, Action","$1,118,888,979.00",3h 21m,"$94,000,000.00",English,9,84,267
159,Harry Potter and the Chamber of Secrets,2002,77,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Chris Columbus,Steve Kloves,"Adventure, Fantasy","$876,688,482.00",2h 41m,"$100,000,000.00",English,25,88,172
160,Justice,2024,71,"A young detective seeks the help of a discharged police officer, giving him the chance to reclaim his old life in exchange for solving a bank raid case.",Michał Gazda,N/A,"Crime, Drama",-,1h 54m,-,Polish,1,6,23
161,Avatar: The Way of Water,2022,76,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,James Cameron,"Science Fiction, Adventure, Action","$2,320,250,281.00",3h 12m,"$460,000,000.00",English,65,111,421
162,Alice in Terrorland,2023,60,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",Richard John Taylor,N/A,"Horror, Thriller",-,1h 17m,-,English,1,6,9
163,Darkness of Man,2024,67,"Russell Hatch, an Interpol operative who takes on the role of father figure to Jayden, the son of an informant killed in a routine raid gone wrong. Years later, Hatch finds himself protecting Jayden and his grandfather from a group of merciless gangs in an all-out turf war, stopping at nothing to protect Jayden and fight anyone getting in his way.",James Cullen Bressack,N/A,Action,-,1h 48m,"$5,000,000.00",English,3,17,26
164,Pirates of the Caribbean: The Curse of the Black Pearl,2003,78,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",Gore Verbinski,Ted Elliott,"Adventure, Fantasy, Action","$655,011,224.00",2h 23m,"$140,000,000.00",English,1,55,181
165,The Lord of the Rings: The Fellowship of the Ring,2001,84,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",Peter Jackson,Peter Jackson,"Adventure, Fantasy, Action","$871,368,364.00",2h 59m,"$93,000,000.00",English,9,94,240
166,The Well,2024,58,A young restorer travels to a small village to restore a medieval painting to its former glory. She will put her life in danger due to a curse attached to the painting.,Federico Zampaglione,N/A,Horror,-,1h 31m,-,English,1,10,13
